STATION,DATE,TMAX,TMIN
GHCND:USC00111550,2006-06-04,74,60
GHCND:USC00111550,2006-06-10,65,57
GHCND:USC00111550,2006-06-11,63,52
GHCND:USC00111550,2006-06-12,64,52
GHCND:USC00111550,2006-06-13,68,58
GHCND:USC00111550,2006-06-14,71,62
GHCND:USC00111550,2006-06-15,78,64
GHCND:USC00111550,2006-06-16,91,76
GHCND:USC00111550,2006-06-17,92,76
GHCND:USC00111550,2006-06-18,79,71
GHCND:USC00111550,2006-06-19,88,72
GHCND:USC00111550,2006-06-20,76,67
GHCND:USC00111550,2006-06-21,89,75
GHCND:USC00111550,2006-06-22,81,66
GHCND:USC00111550,2006-06-23,67,63
GHCND:USC00111550,2006-06-24,74,62
GHCND:USC00111550,2006-06-25,71,64
GHCND:USC00111550,2006-06-26,69,63
GHCND:USC00111550,2006-06-27,76,66
GHCND:USC00111550,2006-06-28,78,63
GHCND:USC00111550,2006-06-29,75,62
GHCND:USC00111550,2006-06-30,80,65
GHCND:USC00111550,2006-07-01,92,71
GHCND:USC00111550,2006-07-02,87,78
GHCND:USC00111550,2006-07-03,82,70
GHCND:USC00111550,2006-07-04,78,68
GHCND:USC00111550,2006-07-05,75,66
GHCND:USC00111550,2006-07-06,76,66
GHCND:USC00111550,2006-07-07,80,66
GHCND:USC00111550,2006-07-08,85,70
GHCND:USC00111550,2006-07-09,89,73
GHCND:USC00111550,2006-07-10,74,66
GHCND:USC00111550,2006-07-11,77,68
GHCND:USC00111550,2006-07-12,76,68
GHCND:USC00111550,2006-07-13,80,69
GHCND:USC00111550,2006-07-14,84,72
GHCND:USC00111550,2006-07-15,92,77
GHCND:USC00111550,2006-07-16,94,79
GHCND:USC00111550,2006-07-17,95,76
GHCND:USC00111550,2006-07-18,80,73
GHCND:USC00111550,2006-07-19,85,73
GHCND:USC00111550,2006-07-20,81,72
GHCND:USC00111550,2006-07-21,78,69
GHCND:USC00111550,2006-07-22,79,69
GHCND:USC00111550,2006-07-23,80,68
GHCND:USC00111550,2006-07-24,89,73
GHCND:USC00111550,2006-07-25,92,77
GHCND:USC00111550,2006-07-26,87,73
GHCND:USC00111550,2006-07-27,84,73
GHCND:USC00111550,2006-07-28,88,74
GHCND:USC00111550,2006-07-29,93,78
GHCND:USC00111550,2006-07-30,90,76
GHCND:USC00111550,2006-07-31,98,81
GHCND:USC00111550,2006-08-01,99,83
GHCND:USC00111550,2006-08-02,96,71
GHCND:USC00111550,2006-08-03,79,68
GHCND:USC00111550,2006-08-04,84,71
GHCND:USC00111550,2006-08-05,84,71
GHCND:USC00111550,2006-08-06,85,73
GHCND:USC00111550,2006-08-07,82,74
GHCND:USC00111550,2006-08-08,76,71
GHCND:USC00111550,2006-08-09,82,71
GHCND:USC00111550,2006-08-10,80,75
GHCND:USC00111550,2006-08-11,75,68
GHCND:USC00111550,2006-08-12,76,66
GHCND:USC00111550,2006-08-13,81,66
GHCND:USC00111550,2006-08-14,85,72
GHCND:USC00111550,2006-08-15,79,67
GHCND:USC00111550,2006-08-16,81,67
GHCND:USC00111550,2006-08-17,82,69
GHCND:USC00111550,2006-08-18,82,72
GHCND:USC00111550,2006-08-19,82,71
GHCND:USC00111550,2006-08-20,76,67
GHCND:USC00111550,2006-08-21,80,65
GHCND:USC00111550,2006-08-22,85,69
GHCND:USC00111550,2006-08-23,88,70
GHCND:USC00111550,2006-08-24,85,69
GHCND:USC00111550,2006-08-25,84,70
GHCND:USC00111550,2006-08-26,80,74
GHCND:USC00111550,2006-08-27,77,72
GHCND:USC00111550,2006-08-28,72,65
GHCND:USC00111550,2006-08-29,69,66
GHCND:USC00111550,2006-08-30,74,67
GHCND:USC00111550,2006-08-31,74,64
GHCND:USC00111550,2006-09-01,73,66
GHCND:USC00111550,2006-09-02,74,66
GHCND:USC00111550,2006-09-03,77,63
GHCND:USC00111550,2006-09-04,70,63
GHCND:USC00111550,2006-09-05,75,63
GHCND:USC00111550,2006-09-06,76,64
GHCND:USC00111550,2006-09-07,85,66
GHCND:USC00111550,2006-09-08,84,66
GHCND:USC00111550,2006-09-09,73,65
GHCND:USC00111550,2006-09-10,65,62
GHCND:USC00111550,2006-09-11,68,62
GHCND:USC00111550,2006-09-12,73,65
GHCND:USC00111550,2006-09-13,67,63
GHCND:USC00111550,2006-09-14,72,63
GHCND:USC00111550,2006-09-15,76,63
GHCND:USC00111550,2006-09-16,80,63
GHCND:USC00111550,2006-09-17,85,65
GHCND:USC00111550,2006-09-18,72,55
GHCND:USC00111550,2006-09-19,56,51
GHCND:USC00111550,2006-09-20,64,48
GHCND:USC00111550,2006-09-21,69,51
GHCND:USC00111550,2006-09-22,71,58
GHCND:USC00111550,2006-09-23,73,60
GHCND:USC00111550,2006-09-24,66,57
GHCND:USC00111550,2006-09-25,73,52
GHCND:USC00111550,2006-09-26,71,60
GHCND:USC00111550,2006-09-27,69,55
GHCND:USC00111550,2006-09-28,60,51
GHCND:USC00111550,2006-09-29,61,48
GHCND:USC00111550,2006-09-30,69,53
GHCND:USC00111550,2006-10-01,74,53
GHCND:USC00111550,2006-10-02,76,69
GHCND:USC00111550,2006-10-03,79,61
GHCND:USC00111550,2006-10-04,77,57
GHCND:USC00111550,2006-10-05,58,55
GHCND:USC00111550,2006-10-06,58,51
