STATION,DATE,TMAX,TMIN
GHCND:USW00094823,1980-08-02,86,68
GHCND:USW00094823,1980-08-03,80,67
GHCND:USW00094823,1980-08-04,88,68
GHCND:USW00094823,1980-08-05,88,67
GHCND:USW00094823,1980-08-06,81,68
GHCND:USW00094823,1980-08-07,89,65
GHCND:USW00094823,1980-08-08,91,70
GHCND:USW00094823,1980-08-09,86,70
GHCND:USW00094823,1980-08-10,89,68
GHCND:USW00094823,1980-08-11,87,68
GHCND:USW00094823,1980-08-12,81,68
GHCND:USW00094823,1980-08-13,84,63
GHCND:USW00094823,1980-08-14,84,68
GHCND:USW00094823,1980-08-15,73,61
GHCND:USW00094823,1980-08-16,72,55
GHCND:USW00094823,1980-08-17,66,55
GHCND:USW00094823,1980-08-18,78,60
GHCND:USW00094823,1980-08-19,84,68
GHCND:USW00094823,1980-08-20,78,68
GHCND:USW00094823,1980-08-21,82,68
GHCND:USW00094823,1980-08-22,72,66
GHCND:USW00094823,1980-08-23,80,66
GHCND:USW00094823,1980-08-24,85,64
GHCND:USW00094823,1980-08-25,88,63
GHCND:USW00094823,1980-08-26,85,63
GHCND:USW00094823,1980-08-27,89,66
GHCND:USW00094823,1980-08-28,88,70
GHCND:USW00094823,1980-08-29,89,69
GHCND:USW00094823,1980-08-30,83,65
GHCND:USW00094823,1980-08-31,86,61
GHCND:USW00094823,1980-09-01,90,65
GHCND:USW00094823,1980-09-02,85,66
GHCND:USW00094823,1980-09-03,85,59
GHCND:USW00094823,1980-09-04,87,57
GHCND:USW00094823,1980-09-05,84,60
GHCND:USW00094823,1980-09-06,86,63
GHCND:USW00094823,1980-09-07,80,58
GHCND:USW00094823,1980-09-08,81,59
GHCND:USW00094823,1980-09-09,80,61
GHCND:USW00094823,1980-09-10,71,54
GHCND:USW00094823,1980-09-11,76,50
GHCND:USW00094823,1980-09-12,83,55
GHCND:USW00094823,1980-09-13,86,64
GHCND:USW00094823,1980-09-14,83,63
GHCND:USW00094823,1980-09-15,69,59
GHCND:USW00094823,1980-09-16,76,56
GHCND:USW00094823,1980-09-17,74,58
GHCND:USW00094823,1980-09-18,71,55
GHCND:USW00094823,1980-09-19,79,52
GHCND:USW00094823,1980-09-20,85,56
GHCND:USW00094823,1980-09-21,83,66
GHCND:USW00094823,1980-09-22,80,63
GHCND:USW00094823,1980-09-23,69,52
GHCND:USW00094823,1980-09-24,71,49
GHCND:USW00094823,1980-09-25,75,49
GHCND:USW00094823,1980-09-26,64,45
GHCND:USW00094823,1980-09-27,66,41
GHCND:USW00094823,1980-09-28,71,49
GHCND:USW00094823,1980-09-29,77,49
GHCND:USW00094823,1980-09-30,77,51
GHCND:USW00094823,1980-10-01,78,51
GHCND:USW00094823,1980-10-02,62,50
GHCND:USW00094823,1980-10-03,63,45
GHCND:USW00094823,1980-10-04,55,41
GHCND:USW00094823,1980-10-05,55,41
GHCND:USW00094823,1980-10-06,59,35
GHCND:USW00094823,1980-10-07,64,46
GHCND:USW00094823,1980-10-08,73,48
GHCND:USW00094823,1980-10-09,70,48
GHCND:USW00094823,1980-10-10,75,43
GHCND:USW00094823,1980-10-11,62,45
GHCND:USW00094823,1980-10-12,45,41
GHCND:USW00094823,1980-10-13,46,40
GHCND:USW00094823,1980-10-14,50,36
GHCND:USW00094823,1980-10-15,70,45
GHCND:USW00094823,1980-10-16,75,52
GHCND:USW00094823,1980-10-17,77,51
GHCND:USW00094823,1980-10-18,70,52
GHCND:USW00094823,1980-10-19,60,38
GHCND:USW00094823,1980-10-20,51,36
GHCND:USW00094823,1980-10-21,63,43
GHCND:USW00094823,1980-10-22,54,37
GHCND:USW00094823,1980-10-23,53,31
GHCND:USW00094823,1980-10-24,61,37
GHCND:USW00094823,1980-10-25,50,34
GHCND:USW00094823,1980-10-26,37,34
GHCND:USW00094823,1980-10-27,46,30
GHCND:USW00094823,1980-10-28,42,36
