STATION,DATE,TMAX,TMIN
GHCND:USW00013743,1980-05-06,73,56
GHCND:USW00013743,1980-05-07,73,57
GHCND:USW00013743,1980-05-08,70,60
GHCND:USW00013743,1980-05-09,69,57
GHCND:USW00013743,1980-05-10,65,57
GHCND:USW00013743,1980-05-11,57,53
GHCND:USW00013743,1980-05-12,55,52
GHCND:USW00013743,1980-05-13,70,52
GHCND:USW00013743,1980-05-14,78,50
GHCND:USW00013743,1980-05-15,86,54
GHCND:USW00013743,1980-05-16,86,60
GHCND:USW00013743,1980-05-17,86,66
GHCND:USW00013743,1980-05-18,85,62
GHCND:USW00013743,1980-05-19,91,67
GHCND:USW00013743,1980-05-20,88,70
GHCND:USW00013743,1980-05-21,84,65
GHCND:USW00013743,1980-05-22,73,55
GHCND:USW00013743,1980-05-23,68,57
GHCND:USW00013743,1980-05-24,71,53
GHCND:USW00013743,1980-05-25,86,61
GHCND:USW00013743,1980-05-26,77,66
GHCND:USW00013743,1980-05-27,70,63
GHCND:USW00013743,1980-05-28,80,58
GHCND:USW00013743,1980-05-29,85,65
GHCND:USW00013743,1980-05-30,90,68
GHCND:USW00013743,1980-05-31,89,71
GHCND:USW00013743,1980-06-01,80,65
GHCND:USW00013743,1980-06-02,83,59
GHCND:USW00013743,1980-06-03,80,59
GHCND:USW00013743,1980-06-04,72,58
GHCND:USW00013743,1980-06-05,72,57
GHCND:USW00013743,1980-06-06,72,55
GHCND:USW00013743,1980-06-07,70,52
GHCND:USW00013743,1980-06-08,76,57
GHCND:USW00013743,1980-06-09,74,54
GHCND:USW00013743,1980-06-10,63,57
GHCND:USW00013743,1980-06-11,69,61
GHCND:USW00013743,1980-06-12,81,65
GHCND:USW00013743,1980-06-13,82,63
GHCND:USW00013743,1980-06-14,82,62
GHCND:USW00013743,1980-06-15,83,64
GHCND:USW00013743,1980-06-16,87,66
GHCND:USW00013743,1980-06-17,84,65
GHCND:USW00013743,1980-06-18,87,69
GHCND:USW00013743,1980-06-19,79,69
GHCND:USW00013743,1980-06-20,89,71
GHCND:USW00013743,1980-06-21,89,70
GHCND:USW00013743,1980-06-22,83,72
GHCND:USW00013743,1980-06-23,86,72
GHCND:USW00013743,1980-06-24,87,72
GHCND:USW00013743,1980-06-25,90,73
GHCND:USW00013743,1980-06-26,95,75
GHCND:USW00013743,1980-06-27,88,76
GHCND:USW00013743,1980-06-28,77,68
GHCND:USW00013743,1980-06-29,84,69
GHCND:USW00013743,1980-06-30,90,68
GHCND:USW00013743,1980-07-01,85,66
GHCND:USW00013743,1980-07-02,85,65
GHCND:USW00013743,1980-07-03,87,64
GHCND:USW00013743,1980-07-04,86,71
GHCND:USW00013743,1980-07-05,87,70
GHCND:USW00013743,1980-07-06,86,65
GHCND:USW00013743,1980-07-07,89,67
GHCND:USW00013743,1980-07-08,77,67
GHCND:USW00013743,1980-07-09,85,65
GHCND:USW00013743,1980-07-10,88,71
GHCND:USW00013743,1980-07-11,81,64
GHCND:USW00013743,1980-07-12,84,62
GHCND:USW00013743,1980-07-13,86,67
GHCND:USW00013743,1980-07-14,86,70
GHCND:USW00013743,1980-07-15,84,73
GHCND:USW00013743,1980-07-16,91,73
GHCND:USW00013743,1980-07-17,92,76
GHCND:USW00013743,1980-07-18,88,73
GHCND:USW00013743,1980-07-19,89,70
GHCND:USW00013743,1980-07-20,96,74
GHCND:USW00013743,1980-07-21,96,73
GHCND:USW00013743,1980-07-22,97,75
GHCND:USW00013743,1980-07-23,93,74
GHCND:USW00013743,1980-07-24,89,73
GHCND:USW00013743,1980-07-25,86,74
GHCND:USW00013743,1980-07-26,82,70
GHCND:USW00013743,1980-07-27,86,67
GHCND:USW00013743,1980-07-28,91,71
GHCND:USW00013743,1980-07-29,95,74
GHCND:USW00013743,1980-07-30,94,74
GHCND:USW00013743,1980-07-31,83,69
